omega,S_connected_symmetrized
-4.757321007702341120e+01,0.000000000000000000e+00
-4.754574286566254671e+01,0.000000000000000000e+00
-4.751827565430167510e+01,0.000000000000000000e+00
-4.749080844294080350e+01,0.000000000000000000e+00
-4.746334123157993901e+01,0.000000000000000000e+00
-4.743587402021907451e+01,0.000000000000000000e+00
-4.740840680885820291e+01,0.000000000000000000e+00
-4.738093959749733841e+01,0.000000000000000000e+00
-4.735347238613646681e+01,0.000000000000000000e+00
-4.732600517477560231e+01,0.000000000000000000e+00
-4.729853796341473071e+01,0.000000000000000000e+00
-4.727107075205386622e+01,0.000000000000000000e+00
-4.724360354069299461e+01,0.000000000000000000e+00
-4.721613632933213012e+01,0.000000000000000000e+00
-4.718866911797125852e+01,0.000000000000000000e+00
-4.716120190661039402e+01,0.000000000000000000e+00
-4.713373469524952242e+01,0.000000000000000000e+00
-4.710626748388865792e+01,0.000000000000000000e+00
-4.707880027252778632e+01,0.000000000000000000e+00
-4.705133306116692182e+01,0.000000000000000000e+00
-4.702386584980605022e+01,0.000000000000000000e+00
-4.699639863844518572e+01,0.000000000000000000e+00
-4.696893142708431412e+01,0.000000000000000000e+00
-4.694146421572344963e+01,0.000000000000000000e+00
-4.691399700436257802e+01,0.000000000000000000e+00
-4.688652979300171353e+01,0.000000000000000000e+00
-4.685906258164084193e+01,0.000000000000000000e+00
-4.683159537027997743e+01,0.000000000000000000e+00
-4.680412815891910583e+01,0.000000000000000000e+00
-4.677666094755824133e+01,0.000000000000000000e+00
-4.674919373619736973e+01,0.000000000000000000e+00
-4.672172652483650523e+01,0.000000000000000000e+00
-4.669425931347563363e+01,0.000000000000000000e+00
-4.666679210211476914e+01,0.000000000000000000e+00
-4.663932489075389753e+01,0.000000000000000000e+00
-4.661185767939303304e+01,0.000000000000000000e+00
-4.658439046803216144e+01,0.000000000000000000e+00
-4.655692325667129694e+01,0.000000000000000000e+00
-4.652945604531042534e+01,0.000000000000000000e+00
-4.650198883394956084e+01,0.000000000000000000e+00
-4.647452162258868924e+01,0.000000000000000000e+00
-4.644705441122782474e+01,0.000000000000000000e+00
-4.641958719986695314e+01,0.000000000000000000e+00
-4.639211998850608865e+01,0.000000000000000000e+00
-4.636465277714521704e+01,0.000000000000000000e+00
-4.633718556578435255e+01,0.000000000000000000e+00
-4.630971835442348095e+01,0.000000000000000000e+00
-4.628225114306261645e+01,0.000000000000000000e+00
-4.625478393170174485e+01,0.000000000000000000e+00
-4.622731672034088035e+01,0.000000000000000000e+00
-4.619984950898000875e+01,0.000000000000000000e+00
-4.617238229761914425e+01,0.000000000000000000e+00
-4.614491508625827265e+01,0.000000000000000000e+00
-4.611744787489740816e+01,0.000000000000000000e+00
-4.608998066353653655e+01,0.000000000000000000e+00
-4.606251345217567206e+01,0.000000000000000000e+00
-4.603504624081480046e+01,0.000000000000000000e+00
-4.600757902945393596e+01,0.000000000000000000e+00
-4.598011181809306436e+01,0.000000000000000000e+00
-4.595264460673219986e+01,0.000000000000000000e+00
-4.592517739537132826e+01,0.000000000000000000e+00
-4.589771018401046376e+01,0.000000000000000000e+00
-4.587024297264959216e+01,0.000000000000000000e+00
-4.584277576128872767e+01,0.000000000000000000e+00
-4.581530854992785606e+01,0.000000000000000000e+00
-4.578784133856699157e+01,0.000000000000000000e+00
-4.576037412720611997e+01,0.000000000000000000e+00
-4.573290691584525547e+01,0.000000000000000000e+00
-4.570543970448438387e+01,0.000000000000000000e+00
-4.567797249312351937e+01,0.000000000000000000e+00
-4.565050528176264777e+01,0.000000000000000000e+00
-4.562303807040178327e+01,0.000000000000000000e+00
-4.559557085904091167e+01,0.000000000000000000e+00
-4.556810364768004717e+01,0.000000000000000000e+00
-4.554063643631917557e+01,0.000000000000000000e+00
-4.551316922495831108e+01,0.000000000000000000e+00
-4.548570201359743947e+01,0.000000000000000000e+00
-4.545823480223657498e+01,0.000000000000000000e+00
-4.543076759087570338e+01,0.000000000000000000e+00
-4.540330037951483888e+01,0.000000000000000000e+00
-4.537583316815396728e+01,0.000000000000000000e+00
-4.534836595679310278e+01,0.000000000000000000e+00
-4.532089874543223118e+01,0.000000000000000000e+00
-4.529343153407136668e+01,0.000000000000000000e+00
-4.526596432271050219e+01,0.000000000000000000e+00
-4.523849711134963059e+01,0.000000000000000000e+00
